rank,stadium,capacity,region,country,city,images,home_team,latitude,longitude
27,Maracanã,78838,South America,Brazil,"Rio de Janeiro, Rio de Janeiro",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Bosnia_players_at_Maracan%C3%A3_15_June_2014.jpg/250px-Bosnia_players_at_Maracan%C3%A3_15_June_2014.jpg,"CR Flamengo, Fluminense FC, Botafogo FR, CR Vasco da Gama",-22.9110137,-43.2093727
28,Azadi Stadium,78116,West Asia,Iran,Tehran,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Azadi_Stadium_%287%29.jpg/250px-Azadi_Stadium_%287%29.jpg,"Iran national football team, Esteghlal FC, Persepolis FC",35.6892523,51.3896004
29,Stadion Utama Gelora Bung Karno,77193,Southeast Asia,Indonesia,Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Gbk_persija_arema_20190803.jpg/250px-Gbk_persija_arema_20190803.jpg,"Indonesia national football team,",-6.1754049,106.827168
30,Atatürk Olimpiyat Stadyumu,76092,Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Istanbul_Atat%C3%BCrk_Olympic_Stadium_2.jpg/250px-Istanbul_Atat%C3%BCrk_Olympic_Stadium_2.jpg,,41.006381,28.9758715
31,Old Trafford,76000,Europe,England,"Manchester, North West England",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Manchester_United_old_trafford_Ank_Kumar_01.jpg/250px-Manchester_United_old_trafford_Ank_Kumar_01.jpg,Manchester United,,
32,Tangier Grand Stadium,75500,Africa,Morocco,Tangier,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Tangier_Stadium.jpg/250px-Tangier_Stadium.jpg,"IR Tangier, Morocco national team",35.7696302,-5.8033522
33,Allianz Arena,75024,Europe,Germany,Munich,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/M%C3%BCnchen%2C_Allianz_Arena%2C_innen_2019-11_%283%29.jpg/250px-M%C3%BCnchen%2C_Allianz_Arena%2C_innen_2019-11_%283%29.jpg,FC Bayern Munich,48.1371079,11.5753822
34,Naghsh-e-Jahan Stadium,75000,West Asia,Iran,Isfahan,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Naghsh_Jahan_Stadium.jpg/250px-Naghsh_Jahan_Stadium.jpg,Sepahan FC,32.6707877,51.6650002
35,Bank of America Stadium,74867,North America,United States,"Charlotte, North Carolina",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/BofACLTFCConfig.jpg/250px-BofACLTFCConfig.jpg,"Carolina Panthers, Charlotte FC",35.2272086,-80.8430827
36,Principality Stadium,74500,Europe,Wales,Cardiff,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Millennium_Stadium_-_Glanmor%E2%80%99s_Gap.jpg/250px-Millennium_Stadium_-_Glanmor%E2%80%99s_Gap.jpg,Wales national rugby union team,51.4816546,-3.1791934
37,Olympia­stadion,74475,Europe,Germany,Berlin,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Berlin_Olympiastadion_nach_Umbau.jpg/250px-Berlin_Olympiastadion_nach_Umbau.jpg,Hertha BSC,52.5173885,13.3951309
38,Cairo International Stadium,74100,Africa,Egypt,Cairo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Cairo_Stadium_Afcon_u23_2019.jpg/250px-Cairo_Stadium_Afcon_u23_2019.jpg,"Egypt national football team, Al Ahly, Zamalek",30.0443879,31.2357257
39,Estádio Nacional Mané Garrincha,72788,South America,Brazil,"Brasília, Distrito Federal",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Est%C3%A1dio_Nacional_Bras%C3%ADlia.jpg/250px-Est%C3%A1dio_Nacional_Bras%C3%ADlia.jpg,"Brasília FC, Legião FC",-15.7939869,-47.8828
40,Stadio Olimpico,72698,Europe,Italy,"Rome, Lazio",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/2012-03-17_ITA_-_SCO_prematch.jpg/250px-2012-03-17_ITA_-_SCO_prematch.jpg,"AS Roma, SS Lazio",41.8933203,12.4829321
41,Nissan Stadium,72327,East Asia,Japan,"Yokohama, Kanagawa",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/International_Stadium_Yokohama-1.jpg/250px-International_Stadium_Yokohama-1.jpg,"Yokohama F. Marinos, Yokohama Eagles",35.4503381,139.6343802
42,Shanghai Stadium,72000,East Asia,China,Shanghai,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Shanghai_Stadium_2024-08-22.jpg/250px-Shanghai_Stadium_2024-08-22.jpg,Shanghai Shenhua,31.2312707,121.4700152
43,Mercedes-Benz Stadium,71000,North America,United States,"Atlanta, Georgia",https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Falcons_Opening_Day_-_MB_Stadium.jpg/250px-Falcons_Opening_Day_-_MB_Stadium.jpg,"Atlanta United FC, Atlanta Falcons",33.7544657,-84.3898151
44,Riyadh Air Metropolitano,70692,Europe,Spain,Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Wanda-Metropolitano.jpg/250px-Wanda-Metropolitano.jpg,Atlético de Madrid,40.416782,-3.703507
45,Olympic National Sports Complex Stadium,70050,Europe,Ukraine,Kyiv,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Kyiv_NSC_Olimpiyskyi_5.jpg/250px-Kyiv_NSC_Olimpiyskyi_5.jpg,"Ukraine national football team, FC Dynamo Kyiv",50.4500336,30.5241361
46,Nou Mestalla,70044,Europe,Spain,Valencia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Nou_Mestalla_2013.jpg/250px-Nou_Mestalla_2013.jpg,Valencia CF,39.4697065,-0.3763353
